division,district,psa,full_psa_num,American Indian,Asian,Unknown,White - Non-Latino,White - Latino,Black - Non-Latino,Black - Latino
NEPD,07,7,077,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPD,01,1,011,80.0,4907.0,2462.0,13243.0,327.0,7674.0,126.0
SPD,01,2,012,15.0,593.0,416.0,6497.0,99.0,576.0,7.0
NEPD,02,1,021,233.0,5975.0,11890.0,5516.0,1235.0,14522.0,582.0
NEPD,02,2,022,126.0,3417.0,7678.0,5133.0,745.0,12299.0,442.0
NEPD,02,3,023,172.0,8123.0,9660.0,18947.0,999.0,7056.0,323.0
NWPD,05,1,051,26.0,607.0,1305.0,12105.0,250.0,1201.0,48.0
NWPD,05,2,052,27.0,567.0,1179.0,11267.0,199.0,1127.0,43.0
NWPD,05,3,053,22.0,655.0,1078.0,9320.0,152.0,2159.0,71.0
CPD,06,1,061,60.0,1799.0,1479.0,6260.0,174.0,3793.0,87.0
CPD,06,2,062,24.0,3176.0,808.0,6478.0,317.0,1215.0,61.0
CPD,06,3,063,35.0,2208.0,1633.0,14583.0,386.0,1525.0,57.0
NEPD,07,1,071,49.0,3094.0,3370.0,15058.0,388.0,2505.0,96.0
NEPD,07,2,072,71.0,6525.0,3101.0,21091.0,458.0,2908.0,75.0
NEPD,07,3,073,64.0,6700.0,3216.0,23335.0,364.0,1905.0,73.0
NEPD,08,1,081,79.0,2518.0,4614.0,17471.0,736.0,6748.0,230.0
NEPD,08,2,082,95.0,1880.0,3887.0,25994.0,644.0,4280.0,162.0
NEPD,08,3,083,65.0,1598.0,2933.0,21515.0,597.0,2469.0,102.0
CPD,09,1,091,26.0,2486.0,1892.0,17529.0,348.0,807.0,23.0
CPD,09,2,092,27.0,3242.0,1628.0,12793.0,306.0,1486.0,36.0
CPD,09,3,093,56.0,1369.0,2229.0,15746.0,327.0,2684.0,60.0
SWPD,12,1,121,42.0,1120.0,810.0,1348.0,47.0,12322.0,100.0
SWPD,12,2,122,24.0,1118.0,932.0,445.0,43.0,10828.0,102.0
SWPD,12,3,123,61.0,1480.0,1555.0,1087.0,94.0,18763.0,193.0
SWPD,12,4,124,56.0,257.0,1158.0,1593.0,36.0,15976.0,141.0
NWPD,14,1,141,135.0,211.0,2086.0,1063.0,50.0,39201.0,428.0
NWPD,14,2,142,71.0,168.0,1501.0,1392.0,86.0,17875.0,244.0
NWPD,14,3,143,36.0,482.0,1843.0,7942.0,142.0,9012.0,134.0
NWPD,14,4,144,71.0,562.0,1976.0,9970.0,166.0,15212.0,182.0
NEPD,15,2,152,285.0,2454.0,14308.0,13236.0,1954.0,13813.0,920.0
NEPD,15,3,153,174.0,6547.0,11665.0,22425.0,1585.0,8202.0,643.0
SWPD,16,1,161,39.0,2953.0,1534.0,7482.0,215.0,8508.0,135.0
SWPD,16,2,162,75.0,828.0,1381.0,1547.0,108.0,16795.0,221.0
SPD,17,1,171,39.0,1764.0,2062.0,13912.0,306.0,4111.0,70.0
SPD,17,2,172,61.0,879.0,994.0,2334.0,87.0,5667.0,101.0
SPD,17,3,173,89.0,2135.0,1907.0,6226.0,250.0,7025.0,89.0
SWPD,18,1,181,86.0,331.0,1165.0,622.0,33.0,17929.0,216.0
